customer_id,first_name,last_name,email,signup_date,country
1,Danielle,Johnson,danielle.johnson754@sanchez-taylor.com,2024-11-17,Australia
2,Joy,Gardner,joy.gardner125@henderson.net,2024-07-24,Netherlands
3,Anthony,Gonzalez,anthony.gonzalez350@miles.com,2025-06-11,Spain
4,Misty,Blake,misty.blake242@wolfe.com,2022-08-30,Australia
5,Jason,Gallagher,jason.gallagher792@davis.com,2025-08-09,Singapore
6,Maurice,Baker,maurice.baker189@blair.com,2023-08-12,United Arab Emirates
7,Christian,Carter,christian.carter532@montgomery.com,2022-03-13,United Kingdom
8,Donna,Mejia,donna.mejia130@wyatt.biz,2023-03-08,Canada
9,Shawn,Flowers,shawn.flowers323@wood.com,2024-12-26,Spain
10,Sharon,Wong,sharon.wong617@reid.info,2023-08-13,United States
11,Joseph,Schaefer,joseph.schaefer674@hawkins.com,2022-12-22,Italy
12,Lydia,Trujillo,lydia.trujillo833@adams-clark.org,2025-09-23,Singapore
13,Jennifer,Lewis,jennifer.lewis529@foster-rocha.info,2022-08-10,Spain
14,Joseph,Wright,joseph.wright559@ryan.org,2023-09-13,United Arab Emirates
15,Michael,Osborn,michael.osborn384@hicks.com,2025-08-30,United States
16,Daniel,Burton,daniel.burton877@henderson.info,2024-04-01,France
17,John,Tran,john.tran814@frazier.net,2025-03-12,Brazil
18,Joseph,Davidson,joseph.davidson448@carter.info,2022-01-06,Netherlands
19,Stephanie,Liu,stephanie.liu259@stanton-gill.net,2022-06-15,Italy
20,Monica,Evans,monica.evans881@romero.com,2024-04-17,Norway
21,Stephanie,Nielsen,stephanie.nielsen204@george.com,2022-06-23,Canada
22,Sarah,Koch,sarah.koch489@allen-allen.org,2022-05-03,Australia
23,Christopher,Tucker,christopher.tucker467@spence.com,2022-07-19,Japan
24,Donna,Arroyo,donna.arroyo718@baker.biz,2022-11-26,Netherlands
25,Sarah,Campos,sarah.campos926@harris.com,2023-11-12,United Kingdom
26,Rachel,Hayes,rachel.hayes847@walker.com,2024-07-02,Mexico
27,Angela,Chapman,angela.chapman649@jones.com,2022-12-22,Australia
28,Carlos,Johnson,carlos.johnson487@jones-young.info,2022-11-29,Canada
29,Amber,Cummings,amber.cummings665@johnston.biz,2022-10-23,Sweden
30,Clinton,Hopkins,clinton.hopkins949@henderson-owens.com,2024-11-12,Japan
31,Denise,Lucas,denise.lucas691@powell.com,2023-01-22,Italy
32,James,Herrera,james.herrera821@henderson.info,2023-01-24,Canada
